time;X;Y;Z;Total
0,315338;-0,0852;0,1212;0,9936;1,005
0,317394;-0,0884;0,1215;0,9906;1,002
0,319525;-0,0868;0,1191;0,9941;1,005
0,321842;-0,0854;0,1215;0,9962;1,007
0,324542;-0,0847;0,1210;0,9995;1,010
0,327455;-0,0835;0,1188;1,0007;1,011
0,330118;-0,0805;0,1205;0,9983;1,009
0,332710;-0,0828;0,1223;0,9997;1,011
0,334583;-0,0779;0,1198;0,9992;1,009
0,337849;-0,0776;0,1149;1,0011;1,011
0,340124;-0,0800;0,1147;1,0004;1,010
0,342073;-0,0791;0,1161;0,9967;1,007
0,345292;-0,0781;0,1166;0,9958;1,006
0,348161;-0,0776;0,1207;0,9980;1,008
0,350541;-0,0800;0,1181;0,9978;1,008
0,352903;-0,0830;0,1154;0,9948;1,005
0,354841;-0,0854;0,1198;0,9953;1,006
0,358157;-0,0825;0,1205;0,9967;1,007
0,360868;-0,0840;0,1237;0,9987;1,010
0,362870;-0,0784;0,1244;0,9987;1,009
0,365410;-0,0798;0,1249;0,9950;1,006
0,368654;-0,0784;0,1232;0,9936;1,004
0,371640;-0,0751;0,1217;0,9960;1,006
0,373196;-0,0742;0,1224;0,9926;1,003
0,375295;-0,0768;0,1228;0,9899;1,000
0,377856;-0,0737;0,1254;0,9911;1,002
0,380904;-0,0719;0,1247;0,9882;0,999
0,392322;-0,0710;0,1224;0,9892;0,999
0,393132;-0,0695;0,1224;0,9894;0,999
0,393395;-0,0658;0,1212;0,9850;0,995
0,393640;-0,0679;0,1205;0,9850;0,995
0,393873;-0,0686;0,1171;0,9836;0,993
0,396306;-0,0681;0,1188;0,9774;0,987
0,397836;-0,0732;0,1176;0,9831;0,993
0,400665;-0,0754;0,1212;0,9813;0,992
0,402955;-0,0715;0,1198;0,9816;0,991
0,405689;-0,0781;0,1244;0,9801;0,991
0,408117;-0,0784;0,1224;0,9818;0,993
0,412205;-0,0805;0,1203;0,9834;0,994
0,413111;-0,0796;0,1235;0,9831;0,994
0,420896;-0,0800;0,1242;0,9862;0,997
0,421673;-0,0784;0,1228;0,9846;0,995
0,421947;-0,0791;0,1223;0,9904;1,001
0,423321;-0,0712;0,1203;0,9867;0,997
0,426262;-0,0703;0,1244;0,9885;0,999
0,428072;-0,0707;0,1223;0,9897;1,000
0,432019;-0,0703;0,1230;0,9880;0,998
0,433490;-0,0693;0,1237;0,9899;1,000
0,436290;-0,0634;0,1261;0,9936;1,004
0,438293;-0,0634;0,1291;0,9934;1,004
0,441163;-0,0673;0,1266;0,9926;1,003
0,443898;-0,0661;0,1281;0,9904;1,001
0,446051;-0,0632;0,1300;0,9931;1,004
0,448673;-0,0617;0,1315;0,9946;1,005
0,451873;-0,0588;0,1328;0,9953;1,006
0,453300;-0,0581;0,1342;0,9962;1,007
0,456498;-0,0556;0,1320;0,9918;1,002
0,458505;-0,0532;0,1284;0,9934;1,003
0,461545;-0,0551;0,1277;0,9978;1,007
0,463440;-0,0537;0,1328;0,9936;1,004
0,466087;-0,0502;0,1315;0,9967;1,007
0,469346;-0,0507;0,1305;0,9990;1,009
0,472884;-0,0490;0,1296;0,9992;1,009
0,473883;-0,0500;0,1291;1,0007;1,010
0,476118;-0,0514;0,1291;0,9943;1,004
0,478552;-0,0507;0,1305;0,9983;1,008
0,481173;-0,0514;0,1284;1,0051;1,015
0,490988;-0,0507;0,1273;1,0065;1,016
0,491750;-0,0534;0,1240;1,0065;1,016
0,491996;-0,0521;0,1219;1,0112;1,020
0,492187;-0,0563;0,1228;1,0092;1,018
0,495297;-0,0583;0,1205;1,0165;1,025
0,496901;-0,0570;0,1240;1,0197;1,029
0,498616;-0,0549;0,1219;1,0214;1,030
0,501657;-0,0610;0,1247;1,0249;1,034
0,503899;-0,0598;0,1224;1,0305;1,039
0,510841;-0,0590;0,1212;1,0337;1,042
0,511438;-0,0602;0,1210;1,0310;1,040
0,511670;-0,0598;0,1215;1,0324;1,041
0,514122;-0,0637;0,1212;1,0310;1,040
0,516480;-0,0581;0,1186;1,0312;1,040
0,518797;-0,0605;0,1212;1,0273;1,036
0,521681;-0,0651;0,1228;1,0302;1,040
0,524591;-0,0619;0,1223;1,0293;1,038
0,526448;-0,0642;0,1232;1,0298;1,039
0,528968;-0,0644;0,1224;1,0286;1,038
0,532740;-0,0658;0,1200;1,0261;1,035
0,534146;-0,0610;0,1232;1,0241;1,033
0,536564;-0,0626;0,1232;1,0214;1,031
0,539870;-0,0619;0,1210;1,0224;1,031
0,541982;-0,0637;0,1224;1,0190;1,028
0,545001;-0,0595;0,1203;1,0146;1,023
0,546834;-0,0576;0,1215;1,0134;1,022
0,549689;-0,0546;0,1193;1,0100;1,018
0,552382;-0,0544;0,1242;1,0034;1,012
0,554443;-0,0514;0,1228;0,9978;1,007
0,557134;-0,0488;0,1223;0,9948;1,003
0,559874;-0,0473;0,1232;0,9855;0,994
0,562228;-0,0476;0,1228;0,9801;0,989
0,564553;-0,0481;0,1232;0,9745;0,983
0,567241;-0,0465;0,1286;0,9689;0,978
0,570476;-0,0441;0,1268;0,9633;0,973
0,578367;-0,0424;0,1298;0,9591;0,969
0,580107;-0,0424;0,1315;0,9518;0,962
0,580348;-0,0372;0,1352;0,9482;0,958
0,580520;-0,0336;0,1340;0,9447;0,955
0,582327;-0,0365;0,1337;0,9435;0,954
0,590206;-0,0367;0,1361;0,9342;0,945
0,591068;-0,0353;0,1386;0,9305;0,941
0,591316;-0,0321;0,1371;0,9279;0,938
