dateTime,X,Y,Z
2023-02-07 15:44:40.065891,-0.53,0.35,-6.70
2023-02-07 15:44:40.075821,-0.54,0.32,-6.80
2023-02-07 15:44:40.086114,-0.53,0.32,-6.88
2023-02-07 15:44:40.094127,-0.50,0.24,-6.92
2023-02-07 15:44:40.105201,-0.46,0.20,-6.87
2023-02-07 15:44:40.115936,-0.49,0.25,-6.81
2023-02-07 15:44:40.124099,-0.42,0.18,-6.79
2023-02-07 15:44:40.135033,-0.32,0.15,-6.71
2023-02-07 15:44:40.145858,-0.23,0.14,-6.67
2023-02-07 15:44:40.154353,-0.17,0.06,-6.53
2023-02-07 15:44:40.165037,-0.15,0.06,-6.42
2023-02-07 15:44:40.173550,-0.09,0.04,-6.38
2023-02-07 15:44:40.183924,-0.03,0.01,-6.40
2023-02-07 15:44:40.194971,-0.02,0.02,-6.39
2023-02-07 15:44:40.203213,-0.11,0.06,-6.31
2023-02-07 15:44:40.213961,-0.20,0.07,-6.23
2023-02-07 15:44:40.224655,-0.24,0.07,-6.31
2023-02-07 15:44:40.233164,-0.21,0.05,-6.43
2023-02-07 15:44:40.243915,-0.21,0.07,-6.45
2023-02-07 15:44:40.254626,-0.22,0.07,-6.41
2023-02-07 15:44:40.299494,-0.27,0.01,-6.27
2023-02-07 15:44:40.301767,-0.23,-0.02,-6.28
2023-02-07 15:44:40.302492,-0.16,-0.02,-6.37
2023-02-07 15:44:40.303163,-0.15,-0.05,-6.46
2023-02-07 15:44:40.321456,-0.14,-0.08,-6.46
2023-02-07 15:44:40.324885,-0.21,0.02,-6.51
2023-02-07 15:44:40.326409,-0.26,0.11,-6.63
2023-02-07 15:44:40.335464,-0.28,0.12,-6.86
2023-02-07 15:44:40.346214,-0.33,0.17,-7.10
2023-02-07 15:44:40.355679,-0.39,0.27,-7.11
2023-02-07 15:44:40.363863,-0.42,0.35,-7.07
2023-02-07 15:44:40.375063,-0.44,0.45,-6.97
2023-02-07 15:44:40.385184,-0.37,0.52,-6.89
2023-02-07 15:44:40.394165,-0.38,0.70,-6.73
2023-02-07 15:44:40.408911,-0.37,0.88,-6.45
2023-02-07 15:44:40.416012,-0.35,1.02,-6.09
2023-02-07 15:44:40.423632,-0.24,1.02,-5.82
2023-02-07 15:44:40.457128,-0.12,0.96,-5.69
2023-02-07 15:44:40.460958,0.00,0.83,-5.69
2023-02-07 15:44:40.463983,0.01,0.58,-5.85
2023-02-07 15:44:40.464718,-0.08,0.37,-6.08
2023-02-07 15:44:40.474901,-0.20,0.08,-6.22
2023-02-07 15:44:40.483180,-0.23,-0.17,-6.44
2023-02-07 15:44:40.497489,-0.18,-0.28,-6.65
2023-02-07 15:44:40.510550,-0.17,-0.32,-6.75
2023-02-07 15:44:40.513262,-0.33,-0.16,-6.68
2023-02-07 15:44:40.524382,-0.49,0.18,-6.46
2023-02-07 15:44:40.534863,-0.55,0.56,-6.33
2023-02-07 15:44:40.545003,-0.57,0.97,-6.28
2023-02-07 15:44:40.553838,-0.57,1.31,-6.11
2023-02-07 15:44:40.564775,-0.62,1.48,-5.88
2023-02-07 15:44:40.572994,-0.65,1.55,-5.73
2023-02-07 15:44:40.584004,-0.62,1.44,-5.73
2023-02-07 15:44:40.594607,-0.55,1.28,-5.78
2023-02-07 15:44:40.602903,-0.48,1.07,-5.77
